Ticker,Source,Is_Classified
1100 TC,BBG,1
1700 TC,BBG,1
ANV_China_ASP,Non_BBG,0
ANV_China_Value,Non_BBG,0
ANV_Total_ASP,Non_BBG,0
ANV_Total_Value,Non_BBG,1
ANV_USA_ASP,Non_BBG,0
ANV_USA_Value,Non_BBG,0
Alumina,BBG,1
Aluminum,BBG,1
Asia Crack Spread,BBG,1
Asian LNG,BBG,1
Aus Coal,Non_BBG,0
Aus Met Coal,BBG,1
Australia Coal,BBG,1
Baltic Clean,BBG,1
Baltic Dirty,BBG,1
Baltic Dry,BBG,1
Baltic Handysize,BBG,1
Billet China,Non_BBG,1
Brent,BBG,1
Cash Cost,Non_BBG,0
Cash Cost Moving Avg 15,Non_BBG,0
China Bismuth,BBG,0
China Caustic Soda,BBG,1
China Coking Coal,Non_BBG,1
China Fluorspar,BBG,0
China HRC,BBG,1
China HRC Margin,Non_BBG,0
China HRC Moving Avg 15,Non_BBG,0
China LS,Non_BBG,0
China LS Moving Avg 15,Non_BBG,0
China Long steel,BBG,1
China Thermal Coal,BBG,0
China Tungsten,BBG,1
China Urea,BBG,0
China Urea 2,BBG,1
China Urea Futures,BBG,0
China Urea Prill,BBG,0
Container Volume Central,Non_BBG,1
Container Volume North,Non_BBG,1
Container Volume South,Non_BBG,1
Container Volume Total,Non_BBG,1
Corn,Non_BBG,1
DAP China,BBG,1
DAP US,BBG,1
DAP_DinhVu_61,Non_BBG,1
DAP_VanThienHoa_64,Non_BBG,1
DCM,Non_BBG,1
DPM,Non_BBG,1
Diesel crack,Non_BBG,1
EAF,Non_BBG,0
EAF Moving Avg 15,Non_BBG,0
EU Natural Gas,BBG,1
Gas 92 crack,Non_BBG,1
Global Urea Spread,Non_BBG,0
Gold,BBG,0
HRC China,Non_BBG,0
HRC EU,Non_BBG,1
HRC Formosa,Non_BBG,1
HRC HPG,Non_BBG,1
HRC Vietnam Imported,Non_BBG,1
Hog_corporate_20kg_South,Non_BBG,1
Hog_corporate_Middle,Non_BBG,1
Hog_corporate_North,Non_BBG,1
Hog_corporate_South,Non_BBG,1
Hog_farmer_Middle,Non_BBG,1
Hog_farmer_North,Non_BBG,1
Hog_farmer_South,Non_BBG,1
IDI_Total_ASP,Non_BBG,0
IDI_Total_Value,Non_BBG,1
IDI_USA_ASP,Non_BBG,0
IDI_USA_Value,Non_BBG,0
Indo Urea,BBG,0
International Rig Count,BBG,0
Jet Fuel,BBG,1
Long steel China,Non_BBG,0
Long steel HPG,Non_BBG,1
MOP China,BBG,0
Malting Barley - Australia,BBG,0
Malting Barley - France,BBG,1
Marine Fuel Oil,BBG,0
NPK_BinhDien,Non_BBG,1
NPK_Camau,Non_BBG,1
NPK_Phumy,Non_BBG,1
Ore 58,Non_BBG,1
Ore 62,BBG,1
PVC Contract SEA,BBG,0
PVC Spot SEA,BBG,1
Palm Oil,BBG,0
Phosphate rock,Non_BBG,1
Potash US,BBG,0
Rice VN Exports,BBG,1
SE Asia PE,BBG,1
SE Asia PS,BBG,0
Scrap,BBG,1
Shanghai Container Index,BBG,1
Silver,BBG,0
Singapore Fuel 380,BBG,1
Soybean,Non_BBG,1
Soybean meal,Non_BBG,1
Spot China HRC,Non_BBG,0
Spot China LS,Non_BBG,0
Spot VN HRC,Non_BBG,0
Spot VN LS,Non_BBG,0
Sugar,BBG,1
Thermal phosphoric acid - China,Non_BBG,1
US Amonia,BBG,0
US Crack Spread,BBG,0
US HRC Future,Non_BBG,1
US Natural Gas,BBG,1
US Rig Count,BBG,0
Ure Brazil Future,BBG,1
Ure Middle East Future,BBG,1
Ure US Gulf Future,BBG,1
Urea Middle East,BBG,0
Urea Simulated Spread,Non_BBG,0
Urea US,BBG,0
VHC_China_ASP,Non_BBG,0
VHC_China_Value,Non_BBG,0
VHC_Total_ASP,Non_BBG,0
VHC_Total_Value,Non_BBG,1
VHC_USA_ASP,Non_BBG,1
VHC_USA_Value,Non_BBG,0
VN HRC,Non_BBG,0
VN HRC Moving Avg 15,Non_BBG,0
VN LS,Non_BBG,0
VN LS Moving Avg 15,Non_BBG,0
Very Low Sulfur Fuel Oil,BBG,0
WTI,BBG,1
Wheat,Non_BBG,1
Yellow phosphorus - China,Non_BBG,1
skim milk powder,BBG,1
whole milk powder,BBG,1
